win-lose,game
3-2,5807
4-3,5453
2-1,4826
4-2,4758
3-1,4355
5-3,4220
5-4,4191
5-2,3919
4-1,3723
6-3,3198
6-4,3074
5-1,3031
6-2,2943
6-5,2810
2-0,2615
3-0,2538
7-3,2458
1-0,2409
6-1,2358
7-4,2239
7-2,2181
4-0,2174
3-3,2131
7-5,2031
2-2,1960
7-6,1775
5-0,1748
4-4,1744
7-1,1743
8-3,1707
8-4,1623
8-2,1502
6-0,1376
1-1,1368
8-5,1352
5-5,1341
8-6,1198
9-3,1189
8-1,1175
9-2,1091
9-4,1071
9-5,1061
7-0,1020
8-7,991
6-6,880
9-1,844
9-6,838
10-3,786
10-4,770
8-0,748
10-2,726
9-7,663
10-5,657
11-3,581
10-1,579
10-6,567
7-7,528
9-8,512
0-0,496
11-2,483
11-4,483
9-0,475
10-7,447
11-5,439
11-6,424
10-8,396
11-1,368
12-4,356
12-3,354
10-0,345
12-2,334
11-7,315
12-5,315
8-8,285
10-9,278
12-6,251
13-3,243
13-4,236
11-0,233
11-8,230
12-1,212
12-7,206
13-5,197
13-2,195
11-9,183
12-8,162
13-6,160
13-1,157
9-9,156
14-2,141
12-0,134
14-3,134
14-4,132
11-10,128
12-9,127
14-5,126
13-7,102
14-6,102
15-3,95
12-10,93
13-8,87
14-7,87
14-1,86
13-0,84
15-4,78
15-5,75
15-2,74
13-9,70
10-10,69
14-8,64
14-0,63
12-11,61
16-4,61
15-6,60
15-7,57
13-10,52
15-1,50
16-5,50
16-3,48
13-11,47
11-11,46
16-6,40
17-3,39
15-8,38
15-9,37
14-9,36
14-10,35
16-7,33
16-2,32
13-12,30
17-2,29
15-0,28
16-1,28
17-4,26
16-8,24
16-0,23
17-6,23
14-11,22
15-10,22
17-1,22
17-5,22
18-2,22
12-12,20
16-9,20
15-11,19
18-3,18
14-12,17
17-7,17
18-4,17
17-8,16
16-10,15
18-5,15
19-3,15
18-6,14
15-12,11
18-7,11
18-9,11
19-1,11
19-6,11
19-8,11
18-1,10
19-2,10
20-6,10
14-13,9
16-11,9
17-0,9
17-9,9
18-8,8
19-7,8
13-13,7
17-11,7
18-10,7
19-0,7
19-5,7
20-4,7
16-13,6
17-10,6
18-0,6
20-7,6
21-2,6
15-13,5
15-14,5
17-13,5
19-4,5
20-11,5
20-2,5
15-15,4
16-12,4
16-14,4
18-11,4
19-10,4
20-1,4
20-3,4
21-7,4
22-1,4
23-2,4
19-11,3
20-10,3
20-5,3
21-3,3
21-9,3
22-4,3
23-6,3
26-7,3
14-14,2
17-12,2
17-14,2
17-16,2
19-12,2
19-17,2
19-9,2
20-8,2
20-9,2
21-4,2
21-6,2
21-8,2
22-0,2
22-2,2
22-7,2
23-10,2
16-16,1
17-15,1
17-17,1
18-12,1
18-16,1
19-13,1
19-15,1
20-0,1
20-12,1
20-14,1
21-0,1
21-1,1
21-11,1
21-12,1
22-11,1
22-13,1
22-14,1
22-3,1
22-6,1
22-8,1
22-9,1
23-1,1
23-13,1
23-22,1
23-3,1
23-4,1
23-8,1
23-9,1
24-10,1
24-11,1
24-12,1
24-2,1
24-4,1
24-5,1
25-8,1
26-3,1
26-5,1
26-8,1
29-4,1
29-6,1
30-3,1
