FULLNAME,ATBAT,HIT,MLE,AVG_SEASON,MCMC
1,43,7,0.162790697674419,0.273,0.251600450571592
2,42,11,0.261904761904762,0.28,0.276287467059451
3,42,6,0.142857142857143,0.284,0.247574175428496
4,50,14,0.28,0.287,0.280176944294497
5,44,10,0.227272727272727,0.289,0.267443907902356
6,42,15,0.357142857142857,0.291,0.301070393368719
7,44,14,0.318181818181818,0.293,0.290936117249678
8,44,13,0.295454545454545,0.295,0.28503469824432
9,45,10,0.222222222222222,0.297,0.26654142114539
10,49,8,0.163265306122449,0.299,0.248866587596421
11,46,11,0.239130434782609,0.301,0.270498768595043
12,41,11,0.268292682926829,0.303,0.277189675221015
13,49,17,0.346938775510204,0.305,0.300217798226653
14,46,16,0.347826086956522,0.307,0.299310987748999
15,41,14,0.341463414634146,0.309,0.29571384950194
16,46,14,0.304347826086957,0.311,0.287529616292029
17,49,15,0.306122448979592,0.314,0.287852732009639
18,49,16,0.326530612244898,0.317,0.294167524915686
19,48,19,0.395833333333333,0.321,0.31365655402
20,44,15,0.340909090909091,0.328,0.295645245465178
