playerID,careerHit,careerHit.x,careerHit.y,fullname
aaronha01,3771,3771,3771,Hank Aaron
ansonca01,3418,3418,3418,Cap Anson
biggicr01,3060,3060,3060,Craig Biggio
boggswa01,3010,3010,3010,Wade Boggs
brettge01,3154,3154,3154,George Brett
brocklo01,3023,3023,3023,Lou Brock
carewro01,3053,3053,3053,Rod Carew
clemero01,3000,3000,3000,Roberto Clemente
cobbty01,4189,4189,4189,Ty Cobb
collied01,3315,3315,3315,Eddie Collins
gwynnto01,3141,3141,3141,Tony Gwynn
henderi01,3055,3055,3055,Rickey Henderson
jeterde01,3304,3304,3304,Derek Jeter
kalinal01,3007,3007,3007,Al Kaline
lajoina01,3242,3242,3242,Nap Lajoie
mayswi01,3283,3283,3283,Willie Mays
molitpa01,3319,3319,3319,Paul Molitor
murraed02,3255,3255,3255,Eddie Murray
musiast01,3630,3630,3630,Stan Musial
palmera01,3020,3020,3020,Rafael Palmeiro
ripkeca01,3184,3184,3184,Cal Ripken
rosepe01,4256,4256,4256,Pete Rose
speaktr01,3514,3514,3514,Tris Speaker
wagneho01,3415,3415,3415,Honus Wagner
wanerpa01,3152,3152,3152,Paul Waner
winfida01,3110,3110,3110,Dave Winfield
yastrca01,3419,3419,3419,Carl Yastrzemski
yountro01,3142,3142,3142,Robin Yount
